../client/animate_dead/logs/61de57852d096_line_coverage_logs.txt
Processing ../client/animate_dead/logs/61de57852d096_line_coverage_logs.txt
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 393-393
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 414-414
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 418-418
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 429-429
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 446-446
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 455-455
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 471-471
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 487-487
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 491-491
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 550-550
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 571-571
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 590-590
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 606-606
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 616-616
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 628-628
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 653-653
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 663-663
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 667-667
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 674-674
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 713-713
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 742-742
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 776-776
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 801-801
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 77-77
/home/ubuntu/debloating_templates/hotcrp/src/conference.php: 5-5
/home/ubuntu/debloating_templates/hotcrp/src/conference.php: 37-37
/home/ubuntu/debloating_templates/hotcrp/src/conference.php: 86-93
/home/ubuntu/debloating_templates/hotcrp/src/conference.php: 95-95
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 78-78
/home/ubuntu/debloating_templates/hotcrp/src/contact.php: 7-7
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 79-79
/home/ubuntu/debloating_templates/hotcrp/src/conference.php: 324-324
/home/ubuntu/debloating_templates/hotcrp/src/conference.php: 325-325
/home/ubuntu/debloating_templates/hotcrp/src/conference.php: 326-326
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 83-83
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 84-84
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 87-87
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 87-88
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 90-90
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 94-94
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 110-110
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 158-158
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 159-159
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 160-160
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 162-162
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 163-163
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 94-94
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 95-95
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 98-98
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 100-100
/home/ubuntu/debloating_templates/hotcrp/src/siteloader.php: 101-101
/home/ubuntu/debloating_templates/hotcrp/conf/options.php: 11-11
/home/ubuntu/debloating_templates/hotcrp/conf/options.php: 19-19
/home/ubuntu/debloating_templates/hotcrp/conf/options.php: 20-20
